,city,id_city,rain,pop,pressure,humidity,dt,dt_normal
226,Biarritz,32,0.0,0.18,1027,73,1653566400,2022-05-26 12:00:00
227,Biarritz,32,0.11,0.21,1026,81,1653652800,2022-05-27 12:00:00
228,Biarritz,32,0.0,0.0,1020,77,1653739200,2022-05-28 12:00:00
229,Biarritz,32,0.0,0.0,1016,52,1653825600,2022-05-29 12:00:00
230,Biarritz,32,0.0,0.0,1013,47,1653912000,2022-05-30 12:00:00
231,Bayonne,33,5.82,0.79,1015,84,1653393600,2022-05-24 12:00:00
232,Bayonne,33,5.65,0.84,1023,70,1653480000,2022-05-25 12:00:00
233,Bayonne,33,0.0,0.15,1027,71,1653566400,2022-05-26 12:00:00
234,Bayonne,33,0.12,0.2,1026,78,1653652800,2022-05-27 12:00:00
235,Bayonne,33,0.0,0.0,1020,74,1653739200,2022-05-28 12:00:00
236,Bayonne,33,0.0,0.0,1016,49,1653825600,2022-05-29 12:00:00
237,Bayonne,33,0.0,0.0,1013,44,1653912000,2022-05-30 12:00:00
238,La Rochelle,34,2.93,0.97,1012,72,1653393600,2022-05-24 12:00:00
239,La Rochelle,34,0.0,0.0,1022,62,1653480000,2022-05-25 12:00:00
240,La Rochelle,34,0.0,0.0,1027,67,1653566400,2022-05-26 12:00:00
241,La Rochelle,34,0.0,0.0,1026,54,1653652800,2022-05-27 12:00:00
242,La Rochelle,34,0.0,0.0,1023,39,1653739200,2022-05-28 12:00:00
243,La Rochelle,34,0.0,0.0,1019,45,1653825600,2022-05-29 12:00:00
244,La Rochelle,34,0.0,0.0,1017,40,1653912000,2022-05-30 12:00:00
